"long","lat","bio1","bio12"
-68.1874999996665,-22.5208333336145,7.26633405685425,45
-65.7708333329805,-22.5208333336145,10.7329998016357,240
-65.8958333329815,-22.5208333336145,9.38350009918213,218
-65.9374999996485,-22.4791666669475,9.90349960327148,216
-67.6041666663285,-22.4791666669475,4.36216688156128,77
-67.5208333329945,-22.4791666669475,4.58833408355713,79
-68.0208333329985,-22.4791666669475,4.39166688919067,62
-65.9791666663155,-22.4791666669475,9.97866630554199,210
-68.1874999996665,-22.4791666669475,6.58599996566772,48
-68.1458333329995,-22.4791666669475,5.89349985122681,51
-67.3958333329935,-22.4375000002805,2.95483303070068,95
-68.0208333329985,-22.3958333336135,3.68533301353455,65
-68.1458333329995,-22.3958333336135,6.44266700744629,51
-68.1874999996665,-22.3541666669465,8.49450016021729,43
-67.7708333329965,-22.3541666669465,2.20066690444946,81
-66.0208333329825,-22.3541666669465,10.2174997329712,222
-68.3958333330015,-22.3541666669465,11.4301700592041,32
-67.8541666663305,-22.3125000002795,2.88966703414917,75
-65.2708333329765,-22.3125000002795,6.89683294296265,309
-68.0208333329985,-22.3125000002795,4.67083311080933,61
-67.1874999996585,-22.2708333336125,-0.0353332906961441,130
-68.1458333329995,-22.2291666669455,8.01000022888184,48
-65.2708333329765,-22.2291666669455,7.95816707611084,321
-67.8124999996635,-22.2291666669455,4.83216714859009,68
-65.2708333329765,-22.2291666669455,7.95816707611084,321
-65.2291666663095,-22.1875000002785,6.72283315658569,318
-65.1041666663085,-22.1875000002785,6.375,331
-68.0208333329985,-22.1875000002785,4.5963339805603,64
-65.5208333329785,-22.1875000002785,11.2550001144409,323
-67.8124999996635,-22.1875000002785,4.84566593170166,73
-67.7291666663295,-22.1875000002785,4.76316690444946,73
-65.3541666663105,-22.1458333336115,10.6681699752808,340
-65.3958333329775,-22.1458333336115,11.0749998092651,341
-67.6041666663285,-22.1458333336115,3.11649990081787,86
-67.4791666663275,-22.1041666669445,5.19116687774658,85
-68.0624999996655,-22.1041666669445,5.27133321762085,62
-68.0624999996655,-22.0625000002775,5.66900014877319,60
-67.5624999996615,-22.0625000002775,4.14400005340576,85
-67.8958333329975,-22.0625000002775,3.27133297920227,77
-65.9374999996485,-22.0625000002775,10.5351696014404,257
-68.3541666663345,-22.0208333336105,3.72283291816711,59
-68.1874999996665,-22.0208333336105,5.92933320999146,56
-68.3124999996675,-21.9791666669435,6.66183280944824,49
-67.3541666663265,-21.9791666669435,6.72800016403198,85
-68.3541666663345,-21.9791666669435,6.3914999961853,49
-68.5208333330025,-21.9375000002765,9.00749969482422,38
-67.5208333329945,-21.9375000002765,4.21999979019165,86
-68.1874999996665,-21.8958333336095,3.47116708755493,65
-68.8541666663385,-21.8958333336095,5.59683322906494,42
-68.1458333329995,-21.8958333336095,2.70683288574219,74
-66.1041666663165,-21.8541666669425,8.61983299255371,212
-67.8541666663305,-21.8125000002755,1.59816694259644,90
-68.4374999996685,-21.8125000002755,6.67116689682007,49
-67.9791666663315,-21.8125000002755,2.61249995231628,80
-68.3958333330015,-21.8125000002755,5.93300008773804,53
-68.1458333329995,-21.8125000002755,3.65333294868469,68
-68.3124999996675,-21.7708333336085,4.4854998588562,60
-67.6041666663285,-21.7291666669415,3.32850003242493,93
-68.1874999996665,-21.7291666669415,6.48016595840454,57
-68.2291666663335,-21.6875000002745,7.04433298110962,55
-66.6041666663205,-21.6875000002745,6.50733280181885,151
-68.0624999996655,-21.6875000002745,4.85466718673706,66
-66.7708333329885,-21.6041666669405,7.69516706466675,131
-67.8541666663305,-21.6041666669405,3.81349992752075,78
